"Index" "yahoo" "microsoft" "citigroup" "dow_chemical"
2016-04-20 37.84 54.493807 46.23624 50.612151
2016-04-21 37.669998 54.680059 46.097746 50.651129
2016-04-22 37.48 50.758936 46.463761 51.265024
2016-04-25 37.23 51.082431 46.186776 51.196814
2016-04-26 37.110001 50.425641 46.592357 52.297923
2016-04-27 36.950001 49.9355 46.819881 52.229713
2016-04-28 36.59 48.916011 46.275231 52.054314
2016-04-29 36.599998 48.8866 45.82961 51.265024
2016-05-02 36.529999 49.61201 46.225719 51.304003
2016-05-03 36.009998 48.798375 45.12652 50.446499
2016-05-04 36 48.8866 44.225376 50.076213
2016-05-05 36.939999 48.95522 43.799561 49.550017
2016-05-06 37.23 49.396347 43.977809 49.852093
2016-05-09 37.18 49.082657 43.462869 49.540274
2016-05-10 37.439999 50.013925 44.403625 50.222379
2016-05-11 37.369999 50.043332 44.037227 49.939792
2016-05-12 37.029999 50.49426 43.5718 50.222379
2016-05-13 36.48 50.072743 42.690461 49.257687
2016-05-16 37.48 50.807953 42.730073 50.280843
2016-05-17 37.27 49.860298 43.27472 50.193144
2016-05-18 37.240002 50.156442 45.4236 49.511042
2016-05-19 37.02 49.672744 44.621485 49.472064
2016-05-20 36.5 49.968884 44.463042 50.046981
2016-05-23 36.66 49.386473 44.670998 50.92397
2016-05-24 37.529999 50.926408 45.413699 51.469655
2016-05-25 35.59 51.44959 46.483187 51.508633
2016-05-26 36.759998 51.222549 45.661266 50.660876
2016-05-27 37.82 51.647018 46.126693 50.846017
2016-05-31 37.939999 52.318272 46.116788 50.046981
2016-06-01 36.650002 52.170199 46.483187 50.261358
2016-06-02 37.150002 51.80496 46.512897 50.904485
2016-06-03 36.599998 51.123836 44.948272 51.800963
2016-06-06 37.07 51.459463 45.294868 52.258949
2016-06-07 36.73 51.429847 45.096813 52.327159
2016-06-08 36.970001 51.370621 45.116619 52.30767
2016-06-09 37.349998 50.956021 44.571969 52.21997
2016-06-10 36.830002 50.817823 43.472774 52.01534
2016-06-13 36.470001 49.495059 42.739974 51.342977
2016-06-14 37.400002 49.189048 41.551652 50.797296
2016-06-15 37.32 49.050846 41.601164 50.534198
2016-06-16 37.389999 49.741843 41.710094 50.85576
2016-06-17 36.939999 49.485189 42.066591 51.576843
2016-06-20 37.290001 49.425959 42.383477 51.713264
2016-06-21 37.400002 50.531552 42.502308 51.908151
2016-06-22 37.360001 50.334127 42.264646 51.85943
2016-06-23 37.779999 51.242292 44.027322 52.30767
2016-06-24 36.240002 49.189048 39.907807 50.251611
2016-06-27 35.220001 47.807055 38.105519 48.692517
2016-06-28 36.040001 48.804062 40.046443 47.699192
2016-06-29 36.860001 49.889915 41.710094 48.584333
2016-06-30 37.560001 50.511809 41.977467 48.889212
2016-07-01 37.990002 50.501939 41.759607 48.722021
2016-07-05 37.5 50.511809 40.383135 47.954898
2016-07-06 37.509998 50.71911 40.660412 47.325466
2016-07-07 37.52 50.71911 40.888174 47.404146
2016-07-08 37.740002 51.627275 41.571457 48.584333
2016-07-11 37.959999 51.913545 41.878442 49.0269
2016-07-12 37.889999 52.525569 43.017248 50.10874
2016-07-13 37.639999 52.82171 42.908322 50.334942
2016-07-14 37.959999 53.048755 44.017421 50.944704
2016-07-15 37.720001 53.009268 43.89859 51.200413
2016-07-18 37.950001 53.265922 44.136252 51.731494
2016-07-19 38.169998 52.407114 43.918392 51.495458
2016-07-20 38.900002 55.190841 44.037227 52.075717
2016-07-21 38.849998 55.082255 43.700535 51.633146
2016-07-22 39.380001 55.842351 43.868879 52.242908
2016-07-25 38.32 56.000293 43.611411 52.390433
2016-07-26 38.759998 56.029906 43.720341 52.655975
2016-07-27 38.66 55.467238 43.858978 52.744489
2016-07-28 38.52 55.486981 43.809288 52.783826
2016-07-29 38.189999 55.950937 43.540946 52.783826
2016-08-01 38.799999 55.852224 43.153338 52.76416
2016-08-02 38.57 55.852224 42.725982 52.252745
2016-08-03 38.389999 56.237207 43.620452 52.547791
2016-08-04 38.919998 56.651803 43.57076 52.606802
2016-08-05 38.990002 57.214471 45.439215 52.754323
2016-08-08 39.240002 57.313187 45.677739 52.714982
2016-08-09 39.240002 57.451386 45.61811 52.50845
2016-08-10 39.93 57.273701 45.170873 52.567461
2016-08-11 41.27 57.550098 45.449152 52.754323
2016-08-12 42.939999 57.194728 45.300076 51.465955
2016-08-15 42.669998 57.372413 46.105099 51.918359
2016-08-16 42.490002 57.054563 46.333686 51.495458
2016-08-17 42.700001 57.17376 46.343626 51.770834
2016-08-18 42.900002 57.213489 46.214424 52.351092
2016-08-19 43.02 57.233355 46.244238 52.537954
2016-08-22 42.52 57.283019 46.373441 52.616635
2016-08-23 42.599998 57.501544 46.303871 52.89201
2016-08-24 41.91 57.561143 46.373441 52.724819
2016-08-25 42.029999 57.779664 46.433074 53.128049
2016-08-26 42.27 57.640604 46.820678 52.744489
2016-08-29 42.259998 57.710134 46.969755 53.236234
2016-08-30 42.580002 57.501544 47.605827 53.098546
2016-08-31 42.75 57.074429 47.44681 52.754323
2016-09-01 42.93 57.203558 47.069143 52.911681
2016-09-02 43.279999 57.283019 47.218219 53.285407
2016-09-06 44.709999 57.223424 46.999573 53.010032
2016-09-07 44.349998 57.273088 47.188405 53.010032
2016-09-08 44.360001 57.044632 47.496502 53.393592
2016-09-09 42.919998 55.832817 46.880307 52.528121
2016-09-12 43.459999 56.667181 47.496502 52.036376
2016-09-13 43.040001 56.150669 46.631843 51.180742
2016-09-14 43.459999 55.882481 46.462888 51.515129
2016-09-15 43.990002 56.806241 46.790864 51.977366
2016-09-16 43.669998 56.865839 46.124976 51.849515
2016-09-19 43.189999 56.547987 46.303871 52.134724
2016-09-20 42.790001 56.428793 46.254179 51.70199
2016-09-21 44.139999 57.372415 46.611969 51.869185
2016-09-22 44.150002 57.432014 46.820678 51.692157
2016-09-23 42.799999 57.044632 46.860433 51.377441
2016-09-26 42.290001 56.518189 45.608169 51.269257
2016-09-27 43.369999 57.561143 46.085221 51.70199
2016-09-28 43.689999 57.640604 46.58215 51.920269
2016-09-29 42.57 57.014834 45.518722 51.324965
2016-09-30 43.099998 57.213489 46.93994 51.424184
2016-10-03 43.130001 57.034697 46.741168 52.009561
2016-10-04 43.18 56.855908 47.456747 51.453948
2016-10-05 43.709999 57.253222 48.351221 52.287371
2016-10-06 43.68 57.352553 48.76864 53.170402
2016-10-07 43.220001 57.412148 48.977349 52.575101
2016-10-10 43.919998 57.650539 49.245692 53.120794
2016-10-11 42.68 56.806241 48.689133 53.10095
2016-10-12 42.360001 56.726779 48.400913 52.793376
2016-10-13 41.619999 56.538052 48.172326 52.495726
2016-10-14 41.439999 57.034697 48.311466 52.962047
